country,fc,fg,legsystem,legsyst2,legsyst3,region,year,context,type,inst,event,location,theme,theme2,origin,origin2,effect,effect2,further detail,
Algeria,2,TRUE,Civil law,Muslim law,,Africa & Middle East,2016,Regime consolidation,Duty1,FALSE,Amendment,Preamble and Main text,Natural resources,,Emulation,,Symbolic,,https://docs.google.com/document/d/1CSSOfl9XkreoRXRvkccbaln1wSD12bF3BpDj85GZ8Ps/edit?usp=sharing,
Burundi,1,TRUE,Civil law,Customary law,,Africa & Middle East,2005,Crisis change,Duty1,FALSE,Original text,Preamble and Main text,Environment,,International influence,,,,,
Eritrea,1,TRUE,Civil law,Customary law,Muslim law,Africa & Middle East,1997,Crisis change,Duty1,FALSE,Original text,Preamble and Main text,Natural resources,Environment,International influence,,Symbolic,,https://docs.google.com/document/d/1D_FjEbMJbxP2VaGob9IZfy3Q5dY8ekGHvuwQMzQ0MZw/edit#heading=h.gnk0db11gdjr,
Eswatini,1,TRUE,Common law,Customary law,,Africa & Middle East,2005,Regime consolidation,Duty1,FALSE,Original text,Main text,Environment,,International influence,,Symbolic,,https://docs.google.com/document/d/1s7VIVnoVZHsyYEHB7woFxW9n8n0xHrsjDpaP0oTPS1w/edit#heading=h.gnk0db11gdjr,
Gambia,1,TRUE,Muslim law,Common law,Customary law,Africa & Middle East,1996,Crisis change,Duty1,FALSE,Original text,Main text,Environment,,Emulation,,,,,
Ghana,1,TRUE,Common law,Customary law,,Africa & Middle East,1992,Crisis change,Duty1,FALSE,Original text,Preamble and Main text,Environment,Societal values,Emulation,,,,,
Lesotho,1,TRUE,Common law,Civil law,Customary law,Africa & Middle East,1993,Crisis change,Duty1,FALSE,Original text,Main text,Environment,Societal values,Unclear,,Symbolic,,https://docs.google.com/document/d/1e88v9YhvRSdqmT0i-S03of8n_K-huop05Z8lsqJdhXE/edit#,
Palestine,1,TRUE,Customary law,Civil law,Muslim law,Africa & Middle East,2003,Crisis change,Duty1,FALSE,Original text,Main text,Environment,,International influence,Emulation,Symbolic,,https://docs.google.com/document/d/16A2lqJOpwZJzlM-jkkeB3UflpXXaX6QLlPnddjmwLlI/edit#,
Uganda,2,TRUE,Common law,Customary law,,Africa & Middle East,1995,Regime consolidation,Duty1,FALSE,Original text,Main text,Environment,Natural resources,Emulation,,Symbolic,,https://docs.google.com/document/d/1tHwZFUE39N3w4cQDbIhoGAY-9Pi9-FQ7-BlUG0ELiog/edit?usp=sharing,
Niger,2,TRUE,Civil law,Customary law,,Africa & Middle East,2010,Crisis change,Duty1,TRUE,Original text,Main text,Environment,Natural resources,Emulation,International influence,Symbolic,,"https://docs.google.com/document/d/1CSSOfl9XkreoRXRvkccbaln1wSD12bF3BpDj85GZ8Ps/edit?usp=sharing
https://docs.google.com/document/d/14jZAVNu8U0vbJ7FrrN2CzuA7aQcGJHRwM42rErFtBgc/edit?usp=sharing",3
Tunisia,2,TRUE,Civil law,Muslim law,,Africa & Middle East,2014,Crisis change,Duty1,TRUE,Original text,Preamble and Main text,Natural resources,Environment,Emulation,,Institutional transformation,Symbolic,https://docs.google.com/document/d/1CSSOfl9XkreoRXRvkccbaln1wSD12bF3BpDj85GZ8Ps/edit?usp=sharing,
Vanuatu,2,TRUE,Civil law,Customary law,Common law,Africa & Middle East,1980,Crisis change,Duty2,FALSE,Original text,Main text,Natural resources,Environment,Unclear,,Symbolic,,https://docs.google.com/document/d/1-HAHbF7ftPQ8JaqqKhZGhSIrN2wQbmBQogcKvAfKb_o/edit?usp=sharing,
Senegal,2,TRUE,Civil law,Customary law,,Africa & Middle East,2001,Non-crisis,Duty2,FALSE,Original text,Main text,Natural resources,Environment,Emulation,,Symbolic,,"https://docs.google.com/document/d/1-uzskDGLu71NGPv-4b8wyKWS7uAHJYGB-iUuuMSSJNQ/edit?usp=sharing
",https://docs.google.com/document/d/14jZAVNu8U0vbJ7FrrN2CzuA7aQcGJHRwM42rErFtBgc/edit?usp=sharing
Ivory Coast,2,TRUE,Civil law,Customary law,,Africa & Middle East,2016,Crisis change,Principle,FALSE,Original text,Preamble,Environment,,Emulation,,Symbolic,,https://docs.google.com/document/d/1-uzskDGLu71NGPv-4b8wyKWS7uAHJYGB-iUuuMSSJNQ/edit?usp=sharing,
Liberia,1,TRUE,Common law,Customary law,,Africa & Middle East,1986,Crisis change,Principle,FALSE,Original text,Preamble,Societal values,,Emulation,,,,,
Libya,1,TRUE,Muslim law,Civil law,,Africa & Middle East,2011,Crisis change,Principle,FALSE,Original text,Preamble,Societal values,,Culture,International influence,Symbolic,,https://docs.google.com/document/d/1NQZRm9PIMCTUQxK9qLiFLwP4oq5wl4RDSUnL90jPUnU/edit#,https://docs.google.com/document/d/14jZAVNu8U0vbJ7FrrN2CzuA7aQcGJHRwM42rErFtBgc/edit?usp=sharing
Madagascar,2,TRUE,Civil law,Customary law,,Africa & Middle East,1992,Crisis change,Principle,FALSE,Original text,Preamble,Environment,Natural resources,International influence,,Symbolic,Agenda,https://docs.google.com/document/d/1b5x-0seGDUEnOawOGbqFnd5xFwzYXjSwxc26A33iHZI/edit?usp=sharing,
Seychelles,1,TRUE,Common law,Civil law,,Africa & Middle East,1993,Crisis change,Principle,FALSE,Original text,Preamble,Societal values,,Emulation,,,,,
Angola,1,TRUE,Civil law,,,Africa & Middle East,2010,Regime consolidation,Right,FALSE,Original text,Preamble and Main text,Environment,Natural resources,Emulation,,,,https://docs.google.com/document/d/1LjhqmGXpFukSt98VgvdrY3ss9dKBsVCtjqKnDkF_DMs/,https://docs.google.com/document/d/14jZAVNu8U0vbJ7FrrN2CzuA7aQcGJHRwM42rErFtBgc/
Egypt,1,TRUE,Muslim law,Civil law,,Africa & Middle East,2012,Regime consolidation,Right,FALSE,Original text,Preamble and Main text,Natural resources,Environment,International influence,Culture,Symbolic,,https://docs.google.com/document/d/1IaxZtIV6YhJcbYCwd8vr0RxJAY1AJyYMUHzVIUcgukk/edit#,
Iran,1,TRUE,Muslim law,Civil law,,Africa & Middle East,1979,Crisis change,Right,FALSE,Original text,Main text,Environment,,Emulation,,Symbolic,,https://docs.google.com/document/d/1xbyIdi9uAM_KpMB_S_KYlVSO3mBy4liI4oWeXdD7W1Y/edit#heading=h.ubgri03ax2j0,
Kenya,2,TRUE,Common law,Customary law,Muslim law,Africa & Middle East,2010,Crisis change,Right,FALSE,Original text,Preamble and Main text,Environment,Public finance,International influence,Emulation,Symbolic,,https://docs.google.com/document/d/1es7SKg8LJcqpOGMlG-_PTKYOXWVNLxFJWyt0ZWwHm3I/edit?usp=sharing,
Malawi,2,TRUE,Common law,Customary law,,Africa & Middle East,1994,Crisis change,Right,FALSE,Original text,Main text,Environment,Natural resources,International influence,,Symbolic,,https://docs.google.com/document/d/1-k0ZuqC7DZxVDIRRKMY6jPVsk4U4KAtvkYGOrQS7G68/edit?usp=sharing,
Morocco,2,TRUE,Muslim law,Civil law,,Africa & Middle East,2011,Crisis change,Right,FALSE,Original text,Main text,Future generations,,Emulation,,Agenda,,https://docs.google.com/document/d/1CSSOfl9XkreoRXRvkccbaln1wSD12bF3BpDj85GZ8Ps/edit?usp=sharing,
Mozambique,1,TRUE,Customary law,Civil law,,Africa & Middle East,2004,Non-crisis,Right,FALSE,Amendment,Main text,Natural resources,Environment,Emulation,International influence,Symbolic,,https://docs.google.com/document/d/1E8QDX08_3WgrEBzr4pcs2HMnwKjiSPqhtRucaEM3u3g/edit#heading=h.gnk0db11gdjr,
South Africa,2,TRUE,Civil law,Customary law,,Africa & Middle East,1997,Crisis change,Right,FALSE,Original text,Main text,Environment,,Emulation,,Agenda,,https://docs.google.com/document/d/1mc99GmqNaTWSWR7JPZ1ZQiC6squvO-VzmnycjnFvDlg/edit?usp=sharing,
Zimbabwe,2,TRUE,Civil law,Common law,Customary law,Africa & Middle East,2013,Crisis change,Right,FALSE,Original text,Main text,Environment,Public finance,Emulation,International influence,Symbolic,,https://docs.google.com/document/d/1Q-KrGeT4t9C5Y5oHyGM_VKcqx7KyTM3LSiw_TFsMK-k/edit?usp=sharing,
South Sudan,2,TRUE,Muslim law,Common law,,Africa & Middle East,2011,Crisis change,Right,TRUE,Original text,Preamble and Main text,Natural resources,Environment,International influence,Emulation,Symbolic,,https://docs.google.com/document/d/1bMV7-9Gw0VExBqGgLTklRgbeWyVxH93Z9DlkYVxk8CY/edit?usp=sharing,
Bahrain,,FALSE,Muslim law,Civil law,"Common law, Customary law ",Africa & Middle East,,,,FALSE,,,,,,,,,,
Benin,,FALSE,Civil law,,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Botswana,,FALSE,Civil law,Common law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Burkina Faso,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Cameroon,,FALSE,Civil law,Common law,Customary law,Africa & Middle East,,,,FALSE,,,,,,,,,,
Cape Verde,,FALSE,Civil law,,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Central African Republic,,FALSE,Civil law,,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Chad,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Comoros,,FALSE,Civil law,Muslim law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Congo (Democratic Republic of the),,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Congo (Republic of the),,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Djibouti,,FALSE,Civil law,Muslim law,Customary law,Africa & Middle East,,,,FALSE,,,,,,,,,,
Equatorial Guinea,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Ethiopia,,FALSE,Civil law,,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Gabon,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Guinea,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Guinea-Bissau,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Iraq,,FALSE,Civil law,Muslim law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Israel,,FALSE,Civil law,Common law,"Jewish law, Muslim law",Africa & Middle East,,,,FALSE,,,,,,,,,,
Jordan,,FALSE,Civil law,Muslim law,Customary law,Africa & Middle East,,,,FALSE,,,,,,,,,,
Kuwait,,FALSE,Muslim law,Civil law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Lebanon,,FALSE,Common law,Civil law,Customary law,Africa & Middle East,,,,FALSE,,,,,,,,,,
Mali,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Malta,,FALSE,Civil law,Common law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Mauritania,,FALSE,Muslim law,Civil law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Mauritius,,FALSE,Civil law,Common law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Namibia,,FALSE,Common law,Civil law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Nigeria,,FALSE,Common law,Muslim law,Customary law,Africa & Middle East,,,,FALSE,,,,,,,,,,
Oman,,FALSE,Muslim law,Customary law,Civil law,Africa & Middle East,,,,FALSE,,,,,,,,,,
Qatar,,FALSE,Muslim law,Civil law,"Common law, Customary law",Africa & Middle East,,,,FALSE,,,,,,,,,,
Rwanda,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Sao Tome and Principe,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Saudi Arabia,,FALSE,Muslim law,,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Sierra Leone,,FALSE,Common law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Somalia,,FALSE,Muslim law,Civil law,"Customary law, Common law",Africa & Middle East,,,,FALSE,,,,,,,,,,
Sudan,,FALSE,Muslim law,Common law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Taiwan,,FALSE,Civil law,,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Tanzania,,FALSE,Common law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Togo,,FALSE,Civil law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
United Arab Emirates,,FALSE,Muslim law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Yemen,,FALSE,Muslim law,Civil law,"Common law, Customary law",Africa & Middle East,,,,FALSE,,,,,,,,,,
Zambia,,FALSE,Common law,Customary law,,Africa & Middle East,,,,FALSE,,,,,,,,,,
Cuba,1,TRUE,Civil law,,,Americas,1992,Regime consolidation,Duty1,FALSE,Amendment,Main text,Environment,Natural resources,Emulation,,Symbolic,,https://docs.google.com/document/d/11-E0CXDU2HlclQHtVi_rbjJXe2JApOJGXetai7-CTd4/edit#,
Dominican Republic,1,TRUE,Civil law,,,Americas,2010,Non-crisis,Duty1,FALSE,Original text,Main text,Environment,,Emulation,,Symbolic,,https://docs.google.com/document/d/1EoNlrmz--lrpOmSztojYVqWtvxMc7KrsWW8xuTKOw3M/edit#,
Ecuador,1,TRUE,Civil law,,,Americas,2008,Non-crisis,Duty1,FALSE,Original text,Main text,Environment,Natural resources,Culture,Emulation,Judicial,Executive,https://docs.google.com/document/d/1yU8GTFTnTfJhJA4sHtM7grNaC3wxiNW3jwhkk_lDG6Q/edit#,
Guyana,2,TRUE,Common law,Civil law,,Americas,2003,Regime consolidation,Duty1,FALSE,Amendment,Main text,Environment,,Emulation,,Symbolic,,https://docs.google.com/document/d/1ME6N__DyxV6IiKTYW23slrszEHYCGHBA3R_rpbFcTh4/edit?usp=sharing,
Uruguay,1,TRUE,Civil law,,,Americas,2004,Non-crisis,Duty1,FALSE,Amendment,Main text,Natural resources,Environment,Emulation,,Institutional transformation,Executive,https://docs.google.com/document/d/1OokfUZA5AL-FBcEdLsaLXGAyIz4GHcvSXhDGdVtBF3M/edit#,
Argentina,1,TRUE,Civil law,,,Americas,1994,Non-crisis,Duty2,FALSE,Amendment,Main text,Environment,,Emulation,,Symbolic,,https://docs.google.com/document/d/1qf76SH8764fAvKA59ryze6ay0kOy648XvFuGZfogjys/edit#heading=h.gnk0db11gdjr,
United States,1,TRUE,Common law,,,Americas,1789,Crisis change,Principle,FALSE,Original text,Preamble,Societal values,,Culture,,,,,
Venezuela,1,TRUE,Civil law,,,Americas,1999,Non-crisis,Principle,FALSE,Original text,Preamble,Societal values,,Unclear,,Unclear,,https://docs.google.com/document/d/1hLRDdUEYqPtl1nAn4ZxyqRjlnoxBtmgwtDhzNT4SS94/edit#,
Bolivia,1,TRUE,Civil law,,,Americas,2009,Non-crisis,Right,FALSE,Original text,Main text,Natural resources,Environment,Culture,,,,https://docs.google.com/document/d/16p8VH_yq3lGIVjktii9IXr9FjSkJWp1FPw6E6MOzeVw/edit#heading=h.gnk0db11gdjr,
Brazil,1,TRUE,Civil law,,,Americas,1988,Crisis change,Right,FALSE,Original text,Main text,Environment,,Emulation,,Judicial,Institutional transformation,https://docs.google.com/document/d/1uv54nsVFj4lTAXq8OvXiXxYsxMle6NqlS8mBPs6cDkE/edit#,
Jamaica,2,TRUE,Common law,,,Americas,2011,Non-crisis,Right,FALSE,Amendment,Main text,Future generations,,Emulation,International influence,Symbolic,,https://docs.google.com/document/d/1L6cUnTx5SDtujralTX1IQ0ezpT4D7ZHfXZZA7Ymrqbs/edit?usp=sharing,
Antigua and Barbuda,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
Bahamas,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
